Code,CARRIER,MONTH,DAY_OF_WEEK,DISTANCE,DEP_DELAY,AIR_TIME,NUMBER_OF_FLIGHTS,TAXI_IN,ARR_DELAY,TAXI_OUT
WN,Southwest Airlines Co.,4,1,749.0,6.0,104.0,14788,6.0,1.0,12.0
WN,Southwest Airlines Co.,4,2,745.0,5.0,104.0,14778,6.0,1.0,12.0
WN,Southwest Airlines Co.,4,3,744.0,5.0,104.0,14937,6.0,-0.0,12.0
WN,Southwest Airlines Co.,4,4,743.0,8.0,104.0,14940,6.0,4.0,12.0
WN,Southwest Airlines Co.,4,5,747.0,11.0,105.0,18701,6.0,8.0,12.0
WN,Southwest Airlines Co.,4,6,792.0,13.0,109.0,14680,6.0,8.0,12.0
WN,Southwest Airlines Co.,4,7,759.0,10.0,105.0,13879,6.0,6.0,12.0
WN,Southwest Airlines Co.,5,1,743.0,7.0,103.0,18248,6.0,3.0,12.0
WN,Southwest Airlines Co.,5,2,743.0,8.0,103.0,18508,6.0,4.0,12.0
WN,Southwest Airlines Co.,5,3,742.0,11.0,103.0,14713,6.0,6.0,12.0
WN,Southwest Airlines Co.,5,4,743.0,13.0,104.0,14804,6.0,10.0,12.0
WN,Southwest Airlines Co.,5,5,744.0,11.0,103.0,14873,6.0,7.0,12.0
WN,Southwest Airlines Co.,5,6,778.0,6.0,107.0,11325,6.0,-0.0,11.0
WN,Southwest Airlines Co.,5,7,761.0,6.0,105.0,16376,6.0,1.0,11.0
WN,Southwest Airlines Co.,6,1,762.0,13.0,105.0,15239,6.0,9.0,12.0
WN,Southwest Airlines Co.,6,2,764.0,17.0,105.0,14906,6.0,14.0,12.0
WN,Southwest Airlines Co.,6,3,760.0,11.0,104.0,18909,6.0,7.0,12.0
WN,Southwest Airlines Co.,6,4,759.0,17.0,105.0,18785,6.0,14.0,13.0
WN,Southwest Airlines Co.,6,5,758.0,13.0,104.0,15202,6.0,9.0,12.0
WN,Southwest Airlines Co.,6,6,814.0,12.0,110.0,12737,6.0,6.0,11.0
WN,Southwest Airlines Co.,6,7,773.0,14.0,106.0,14535,6.0,10.0,12.0
WN,Southwest Airlines Co.,7,1,769.0,12.0,105.0,14692,6.0,7.0,12.0
WN,Southwest Airlines Co.,7,2,762.0,12.0,104.0,15297,6.0,8.0,12.0
WN,Southwest Airlines Co.,7,3,767.0,26.0,105.0,14605,7.0,23.0,12.0
WN,Southwest Airlines Co.,7,4,764.0,25.0,105.0,14284,7.0,22.0,12.0
WN,Southwest Airlines Co.,7,5,764.0,22.0,105.0,18541,7.0,18.0,12.0
WN,Southwest Airlines Co.,7,6,825.0,14.0,111.0,16226,6.0,9.0,12.0
WN,Southwest Airlines Co.,7,7,775.0,11.0,105.0,17685,6.0,6.0,12.0
WN,Southwest Airlines Co.,8,1,742.0,9.0,102.0,18367,6.0,5.0,12.0
WN,Southwest Airlines Co.,8,2,743.0,8.0,102.0,18247,6.0,4.0,12.0
WN,Southwest Airlines Co.,8,3,742.0,8.0,102.0,18297,6.0,4.0,12.0
WN,Southwest Airlines Co.,8,4,742.0,10.0,102.0,14769,6.0,7.0,13.0
WN,Southwest Airlines Co.,8,5,743.0,12.0,102.0,14576,7.0,9.0,12.0
WN,Southwest Airlines Co.,8,6,796.0,9.0,108.0,11665,6.0,4.0,12.0
WN,Southwest Airlines Co.,8,7,746.0,8.0,102.0,13789,6.0,4.0,12.0
WN,Southwest Airlines Co.,9,1,735.0,6.0,101.0,14259,6.0,2.0,12.0
WN,Southwest Airlines Co.,9,2,733.0,3.0,101.0,14527,6.0,-2.0,12.0
WN,Southwest Airlines Co.,9,3,734.0,5.0,101.0,14468,6.0,0.0,12.0
WN,Southwest Airlines Co.,9,4,733.0,8.0,101.0,18174,6.0,4.0,12.0
WN,Southwest Airlines Co.,9,5,734.0,7.0,101.0,18127,6.0,3.0,12.0
WN,Southwest Airlines Co.,9,6,781.0,2.0,107.0,10999,6.0,-3.0,11.0
WN,Southwest Airlines Co.,9,7,747.0,8.0,102.0,13074,6.0,3.0,12.0
WN,Southwest Airlines Co.,10,1,736.0,5.0,102.0,17941,6.0,-0.0,12.0
WN,Southwest Airlines Co.,10,2,734.0,4.0,102.0,14603,6.0,-1.0,12.0
WN,Southwest Airlines Co.,10,3,734.0,4.0,102.0,14620,6.0,-1.0,12.0
WN,Southwest Airlines Co.,10,4,731.0,7.0,102.0,14497,6.0,3.0,12.0
WN,Southwest Airlines Co.,10,5,731.0,9.0,101.0,14228,6.0,5.0,12.0
WN,Southwest Airlines Co.,10,6,780.0,3.0,106.0,14033,6.0,-3.0,12.0
WN,Southwest Airlines Co.,10,7,744.0,8.0,102.0,17313,6.0,3.0,12.0
WN,Southwest Airlines Co.,11,1,738.0,8.0,102.0,14848,6.0,1.0,12.0
WN,Southwest Airlines Co.,11,2,737.0,5.0,102.0,18061,6.0,-2.0,12.0
WN,Southwest Airlines Co.,11,3,736.0,5.0,102.0,18581,6.0,-1.0,12.0
WN,Southwest Airlines Co.,11,4,740.0,6.0,102.0,13544,6.0,-1.0,12.0
WN,Southwest Airlines Co.,11,5,740.0,5.0,102.0,14170,6.0,-2.0,12.0
WN,Southwest Airlines Co.,11,6,779.0,4.0,107.0,12753,6.0,-4.0,11.0
WN,Southwest Airlines Co.,11,7,742.0,7.0,103.0,14593,6.0,0.0,12.0
WN,Southwest Airlines Co.,12,1,737.0,13.0,104.0,14834,7.0,8.0,12.0
WN,Southwest Airlines Co.,12,2,737.0,10.0,104.0,14877,6.0,6.0,12.0
WN,Southwest Airlines Co.,12,3,737.0,9.0,104.0,15023,6.0,4.0,12.0
WN,Southwest Airlines Co.,12,4,737.0,13.0,104.0,18739,7.0,8.0,12.0
WN,Southwest Airlines Co.,12,5,736.0,13.0,104.0,18465,7.0,9.0,13.0
WN,Southwest Airlines Co.,12,6,775.0,15.0,108.0,13820,7.0,10.0,12.0
WN,Southwest Airlines Co.,12,7,749.0,15.0,105.0,12955,7.0,11.0,12.0
